,time,energy_price_index
0,2022-01-01,121.5
1,2022-02-01,124.7
2,2022-03-01,137.9
3,2022-04-01,137.3
4,2022-05-01,141.2
5,2022-06-01,145.6
6,2022-07-01,149.3
7,2022-08-01,153.4
8,2022-09-01,160.4
9,2022-10-01,169.2
10,2022-11-01,170.2
11,2022-12-01,147.8
12,2023-01-01,165.2
13,2023-02-01,165.1
14,2023-03-01,165.4
15,2023-04-01,165.4
16,2023-05-01,164.5
17,2023-06-01,163.7
18,2023-07-01,163.0
19,2023-08-01,163.8
20,2023-09-01,163.3
21,2023-10-01,161.5
22,2023-11-01,158.8
23,2023-12-01,157.0
24,2024-01-01,159.1
25,2024-02-01,158.3
26,2024-03-01,157.0
27,2024-04-01,159.4
28,2024-05-01,158.6
29,2024-06-01,158.3
30,2024-07-01,158.3
31,2024-08-01,157.6
32,2024-09-01,157.2
33,2024-10-01,156.9
34,2024-11-01,156.5
35,2024-12-01,156.6
