,time,unemployment_rate
0,2022-01-01,3.3
1,2022-02-01,3.2
2,2022-03-01,3.2
3,2022-04-01,3.1
4,2022-05-01,3.1
5,2022-06-01,3.1
6,2022-07-01,3.1
7,2022-08-01,3.1
8,2022-09-01,3.2
9,2022-10-01,3.1
10,2022-11-01,3.1
11,2022-12-01,3.1
12,2023-01-01,3.0
13,2023-02-01,3.0
14,2023-03-01,3.0
15,2023-04-01,3.0
16,2023-05-01,3.0
17,2023-06-01,3.0
18,2023-07-01,3.0
19,2023-08-01,3.1
20,2023-09-01,3.1
21,2023-10-01,3.1
22,2023-11-01,3.2
23,2023-12-01,3.2
24,2024-01-01,3.2
25,2024-02-01,3.2
26,2024-03-01,3.3
27,2024-04-01,3.4
28,2024-05-01,3.4
29,2024-06-01,3.4
30,2024-07-01,3.4
31,2024-08-01,3.4
32,2024-09-01,3.4
33,2024-10-01,3.4
34,2024-11-01,3.4
35,2024-12-01,3.5
