month,news_count
2022-01-01,312
2022-02-01,267
2022-03-01,331
2022-04-01,372
2022-05-01,566
2022-06-01,729
2022-07-01,722
2022-08-01,649
2022-09-01,777
2022-10-01,682
2022-11-01,733
2022-12-01,524
2023-01-01,482
2023-02-01,496
2023-03-01,518
2023-04-01,402
2023-05-01,479
2023-06-01,420
2023-07-01,389
2023-08-01,383
2023-09-01,358
2023-10-01,368
2023-11-01,296
2023-12-01,268
2024-01-01,315
2024-02-01,290
2024-03-01,251
2024-04-01,297
2024-05-01,180
2024-06-01,159
2024-07-01,226
2024-08-01,179
2024-09-01,175
2024-10-01,164
2024-11-01,162
2024-12-01,172
